Name,Ticker,"Sub-Sector","Market Cap","Close Price","% Price above 1M SMA","RSI Exponential – 14D","MACD Line 1 – Trend Indicator","ADX Rating – Trend Strength","PE Ratio"
Innova Captab Ltd,INNOVACAP,"Pharmaceuticals","5029.212885165","878.85","8.1069445042408","58.2754799848517","15.2561319295022","41.4826165343235","53.30944334497562"
Jyoti CNC Automation Ltd,JYOTICNC,"Industrial Machinery","24073.87182708","1058.55","7.2671723236406995","56.3067539913886","24.7413517507138","40.3304055164862","159.57756746042674"
Kirloskar Oil Engines Ltd,KIRLOSENG,"Industrial Machinery","10449.2746474","719.75","6.768824541624601","55.7212726536781","6.74863259258916","45.3056858878957","23.647848116866925"
PB Fintech Ltd,POLICYBZR,"Online Services","72805.6179596","1589.75","6.5601791028769","55.7770610297753","14.7738422547595","43.3784681016594","1086.9754846163003"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","18785.8624","1696.7","5.4955030575478","54.9629336875356","23.0638385708648","41.2103660397983","48.967423626316325"
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","21476.27425922","964.15","5.0684364238699","59.8147632957234","3.46760993631381","41.0777318562229","80.3512206645466"
Welspun Enterprises Ltd,WELENT,"Construction & Engineering","6605.32773015","483.15","4.7349110950938","50.3907772829817","1.38076226365837","52.8414033867202","22.38411240689279"
DCM Shriram Ltd,DCMSHRIRAM,"Diversified Chemicals","16709.77594081","1079.15","4.4802129977006","55.7971376919262","12.0603294207101","41.081561122961","37.37368808054124"
Container Corporation of India Ltd,CONCOR,"Logistics","42138.79710768","691.6","3.9972632299149997","55.0397617895301","1.96494846794667","43.2502390959403","33.427837050650886"
KSB Ltd,KSB,"Industrial Machinery","12422.9195236","713.8","3.4114327727897","55.4738095757692","17.356083750276","42.7350118301701","50.193614236767615"
LMW Ltd,LMW,"Industrial Machinery","17077.09599","15985.3","3.3628339184092","59.1238298107684","251.272475635216","42.2690054979524","45.70223194883051"
Jupiter Life Line Hospitals Ltd,JLHL,"Hospitals & Diagnostic Centres","10467.943242410001","1596.55","3.0565825209504","51.2171585220453","31.9315330959791","46.1333595006665","59.27152053909745"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","416212.6372459","1734.7","3.0365397494324","54.3820904831059","19.2408151596765","47.1955618265327","43.46241870580532"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1725512.86822398","1275.1","2.6522454927123","58.6338712751661","13.8016346629322","41.0407793810246","24.78437351121041"
Sanofi India Ltd,SANOFI,"Pharmaceuticals","13185.95231988","5725.4","2.505112588852","50.3184347484019","138.682391864316","50.6281423677205","31.90407045700458"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","192545.990488384","154.24","1.8690971534245","53.6784092373316","4.71180554743961","44.4637561374064","-43.391232442215355"
Tata Investment Corporation Ltd,TATAINVEST,"Asset Management","31964.590153920002","6317.7","1.7611326658197","56.2371958257534","96.7234385242382","40.0784693160571","83.0378504544085"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","248288.56590418998","674.45","1.4122839002643","45.3187874544484","2.72336953935962","40.8356075451832","7.907508335566088"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","123353.182528","656","1.3644019345767","50.550081436717","23.6277566262957","45.1323458733634","16.745427540800215"
Craftsman Automation Ltd,CRAFTSMAN,"Industrial Machinery","11635.08349659","4877.3","1.2816206554451002","58.3722079474121","107.274449019558","40.7753036075307","38.214219780569536"
eMudhra Ltd,EMUDHRA,"IT Services & Consulting","7058.455846145","852.35","1.2649956487001002","53.8933962842101","20.8382239674044","43.6122737273627","94.03751460358379"
Blue Star Ltd,BLUESTARCO,"Home Electronics & Appliances","43927.543308320004","2136.4","1.0556588969447","49.4292685604981","54.7459827910939","40.6276550679531","105.86225643648615"
SBI Nifty 50 ETF,SETFNIF50,"Equity","8375.508879793","248.81","0.8937109034867","59.7850193921067","1.99861554983559","75.671778816887",
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","81566.73329986","564.35","0.4775957305702","42.599096683386","1.22126244909953","53.3825832760183","95.88415538141398"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","8300.0010346","13.06","0.4306367271609","46.1207598933432","0.10363401659829","40.0207069995003","-13.18800215234524"
